title,is_paid,price,headline,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,published_time,last_update_date,category,subcategory,topic,course_url,instructor_name,course_id
Understanding HTML and CSS,True,199.99,"Deeply understand Semantic HTML5, CSS3, Flexbox, Grid, learn to read the specifications, and more.",5882.0,4.7873015,923.0,217.0,207.0,856.0,2022-03-26,2022-07-28,Development,Web Development,CSS,/course/understanding-html-and-css/,Anthony Alicea,16
Selenium WebDriver with C# from Scratch - Nunit Framework,True,199.99,BRAND NEW COURSE - Become expert level Selenium C# Engineer and learn how to implement Automation framework from Scratch,5169.0,4.513624,962.0,160.0,60.0,605.0,2022-02-05,2022-07-15,Development,Software Testing,Selenium WebDriver,/course/selenium-webdriver-with-csharp-nunit/,Rahul Shetty,18
"Master Spring framework, Spring Boot, REST, JPA, Hibernate",True,24.99,"Master Java framework Spring, AOP, Spring MVC, Spring Boot, Thymeleaf, Spring Security, Spring JDBC,Spring Data JPA,REST",9908.0,4.586039,1152.0,179.0,246.0,2113.0,2022-03-10,2022-10-01,IT & Software,Other IT & Software,Spring Framework,/course/spring-springboot-jpa-hibernate-zero-to-master/,Eazy Bytes,25
"MERN Stack Course 2022 -  MongoDB, Express, React and NodeJS",True,19.99,"Build Full Stack Application from Scratch with MongoDB, Express, React and NodeJS",7460.0,4.629032,944.0,246.0,200.0,1096.0,2022-01-05,2022-07-06,Development,Web Development,MERN Stack,/course/mern-stack-course-mongodb-express-react-and-nodejs/,John Smilga,17
Scrum Master PSM 1 - Scrum Master Certification - Agile 2022,True,189.99,Become a professional Scrum Master & prep to take the PSM 1 certification in Agile Scrum. Practice exams & software demo,8479.0,4.6087785,1270.0,221.0,95.0,431.0,2022-01-08,2022-09-27,Business,Project Management,Professional Scrum Master (PSM),/course/psm-1-agile-scrum-master-certification-course-with-exam-questions/,Michael James,28
Growth mindset : The complete guide,True,49.99,Develop a positive mindset for success. Learn the Growth Mindset.,5346.0,4.639073,2041.0,268.0,31.0,106.0,2022-01-04,2022-10-06,Personal Development,Personal Transformation,Growth Mindset,/course/growth-mindset-the-complete-guide/,Jamal Lazaar,35
One Week Python,True,99.99,"A Quick and Effective Way To Learn Python, Made For Busy People",7109.0,4.7527,1095.0,234.0,193.0,855.0,2022-05-02,2022-05-28,Development,Programming Languages,Python,/course/one-week-python/,Colt Steele,24
Google SEO MasterClass for Beginners,True,29.99,Master the practical SEO tactics with this course. Learn how to rank your website on the top of SE using simple tricks,531.0,4.2222223,245.0,171.0,67.0,499.0,2022-03-06,2022-08-12,Marketing,Search Engine Optimization,SEO,/course/google-seo-masterclass/,Academy 365,1
TOTAL: CompTIA Network+ (N10-008),True,199.99,Everything you need to pass the CompTIA Network+ Exam (N10-008) from Mike Meyers and Joe Ramm!,10390.0,4.7025394,2035.0,273.0,171.0,1290.0,2022-01-25,2022-08-15,IT & Software,Network & Security,CompTIA Network+,/course/total-comptia-network-n10-008/,Total Seminars • Over 1 Million Enrollments,34
The Complete Ethical Hacking Absolute Beginners Course,True,19.99,"Learn Ethical Hacking, Types, Terminologies, Tools, Skills, Process, Reconnaissance, Footprinting, Fingerprinting & more",13140.0,4.781437,585.0,232.0,100.0,733.0,2022-01-12,2022-09-30,IT & Software,Network & Security,Ethical Hacking,/course/the-complete-ethical-hacking-absolute-beginners-course/,Ethical Hacking Point,8
The Ultimate Affiliate Marketing Course For Beginners 2022,True,189.99,"Learn Affiliate Marketing from the UK's Award-Winning Digital Marketing Agency Owner, Joshua George!",2104.0,4.733645,408.0,168.0,128.0,1232.0,2022-06-19,2022-09-16,Marketing,Affiliate Marketing,Affiliate Marketing,/course/ultimate-affiliate-marketing-course/,Joshua George,5
Learn everything you need to know about Metaverse,True,99.99,"A complete introduction to the new digital world, WEB 3.0, Blockchain, VR-AR where you can find out all about Metaverse",1356.0,4.5,317.0,268.0,14.0,93.0,2022-01-13,2022-07-15,Finance & Accounting,Cryptocurrency & Blockchain,Metaverse,/course/learn-everything-you-need-to-know-about-metaverse/,Claudiu Ivan,3
Complete DevOps Ansible Automation Training,True,199.99,The BEST Ansible course for IT professionals/DevOps who want to automate everyday tasks specifically in Linux (RHCE),5234.0,4.59375,650.0,135.0,68.0,412.0,2022-04-22,2022-07-16,IT & Software,Other IT & Software,Ansible,/course/complete-ansible-devops-automation-training/,Imran Afzal,9
Advanced trading course : Complete Smart Money Concepts- SMC,True,84.99,"Level 2:  Applying Double Order Block to trade and invest in Stock trading ,Cryptocurrency and Forex  follow Big Boys",2815.0,4.4803147,543.0,180.0,33.0,275.0,2022-01-21,2022-09-01,Finance & Accounting,Investing & Trading,Forex,/course/advanced-trading-course-complete-smart-money-concepts-smc/,Jayce PHAM | Funded Trading Group,7
"The Ultimate NFT Course 2022: Buy, Sell, Create & Trade NFTs",True,189.99,"NFT Training from an award-winning digital agency owner. Learn how to buy, mint, sell, create and trade NFTs in 2022",4183.0,4.762755,970.0,370.0,57.0,649.0,2022-02-12,2022-08-17,Finance & Accounting,Other Finance & Accounting,NFT (Non-Fungible Tokens),/course/the-ultimate-nft-course/,Joshua George,19
Excel Shortcuts & Hacks for Beginners in 2022,False,0.0,"Become Efficient at your Excel Shortcuts, with over 30+ Excel Hacks and Excel Tricks with Practice files.",9484.0,4.5104165,282.0,143.0,46.0,110.0,2022-02-08,2022-03-02,Office Productivity,Microsoft,Excel Shortcuts and Tips,/course/excel-shortcuts-and-hacks-for-2022-100-plus-tips-and-tricks-of-excel/,Kadhiravan Jayachandiran,2
Salesforce Administrator Certification - Pass in 2022 (Oct),True,149.99,Want to pass the Salesforce Admin Exam? Want a course taught by a Lead Solution Engineer at Salesforce? This is it!,6143.0,4.711765,1244.0,293.0,151.0,800.0,2022-02-10,2022-10-02,IT & Software,IT Certifications,Salesforce Certified Administrator,/course/pass-the-salesforce-admin-certification-2022/,David Massey - Lead Solution Engineer at Salesforce UK&I,27
"PMBOK Guide 7th Edition Review 18 PDU's, Renew the PMP",True,19.99,Learn the contents of PMBOK 7th Edition and earn 18 PDU's to renew your PMP. Bestselling Project Management Instructor,6803.0,4.6012435,1618.0,327.0,46.0,283.0,2022-02-05,2022-09-06,Business,Project Management,PMP,/course/pmbok-guide-7th-edition_pmp/,"TIA Education, Andrew Ramdayal",33
AZ-900: Microsoft Azure Fundamentals Video Course - May 2022,True,19.99,AZ-900 Exam: Microsoft Azure Fundamentals || 15+ hours of videos || 100% Syllabus || PPTs || Demos,7184.0,4.647715,1533.0,325.0,226.0,984.0,2022-03-17,2022-09-27,IT & Software,IT Certifications,Microsoft AZ-900,/course/cloudgita-azure-fundamental/,Saurabh Gupta || CloudGita || AZ-900 || AZ-104 || AWS Certified Cloud Practitioner,32
"Vue JS 3: Composition API (with Pinia, Firebase 9 & Vite)",True,19.99,"Already know the Options API? Switch over to the Composition API as quickly as possible! (Oh, and Pinia & Firebase 9!)",3397.0,4.7836256,800.0,190.0,155.0,554.0,2022-03-23,2022-06-07,Development,Web Development,Vue JS,/course/vue-js-3-composition-api/,Danny Connell,12
Getting Started with Wireshark: The Ultimate Hands-On Course,True,19.99,Go from Packet Zero to Packet Hero with this Practical Wireshark course.,11814.0,4.78269,1530.0,385.0,71.0,404.0,2022-04-28,2022-09-13,IT & Software,Network & Security,Wireshark,/course/wireshark-ultimate-hands-on-course/,Experts with David Bombal,31
Playwright JS Automation Testing from Scratch with Framework,True,199.99,Playwright -Modern Testing tool for reliable Web Automation. Support API calls with in UI tests for Smarter Automation.,6751.0,4.5404253,977.0,140.0,70.0,840.0,2022-04-01,2022-07-15,Development,Software Testing,Microsoft Playwright,/course/playwright-tutorials-automation-testing/,Rahul Shetty,20
TOTAL Python: Become an Advanced Python Developer in 16 days,True,19.99,"One REAL Python project per day. From ZERO to Facial Recognition. Machine Learning, Data Science, Django, IGU, Games+",18654.0,4.670391,1489.0,315.0,225.0,1580.0,2022-04-15,2022-09-20,Development,Programming Languages,Python,/course/total-python/,Federico Garay,30
PL-300 | DA-100 Microsoft Power BI Certification - Exam Prep,True,199.99,Full Practice Exam | Pass the PL-300 | DA-100 exam and become Microsoft Certified: Power BI Data Analyst Associate!,5678.0,4.6165643,1020.0,146.0,120.0,538.0,2022-03-25,2022-09-12,IT & Software,IT Certifications,Microsoft Certification,/course/pl-300-da-100-microsoft-power-bi-data-analyst-exam-prep/,Nikolai Schuler,21
A to Z Complete Metaverse Master Course,True,99.99,"The most interactive Metaverse course! Be the early adopters with learning NFT, Metamask, VR, AR, Blockchain and more",1206.0,4.242857,538.0,108.0,24.0,145.0,2022-03-15,2022-05-11,Finance & Accounting,Cryptocurrency & Blockchain,Metaverse,/course/a-to-z-complete-metaverse-master-course/,Ibozi Trading,6
ASP.NET Core 6.0 Course - MVC - Blazor - Razor - EF Core,True,199.99,"Become a great ASP.NET Developer and be ready for any ASP.NET scenario using Blazor, Razor, MVC, Entity Framework & more",4497.0,4.552711,789.0,140.0,130.0,824.0,2022-03-23,2022-09-08,Development,Web Development,ASP.NET Core,/course/aspnet-6-course/,Denis Panjuta,11
Complete Cisco CCNA 200-301 Course,True,19.99,Everything you need to pass the Cisco CCNA 200-301 Exam - a complete course with Jeremy's IT Lab,10994.0,4.7597623,1409.0,248.0,117.0,2338.0,2022-04-20,2022-06-17,IT & Software,IT Certifications,Cisco CCNA,/course/complete-cisco-ccna-200-301-course/,Experts with David Bombal,29
[NEW] AZ-104: Microsoft Azure Administrator - July 2022,True,19.99,Deep-Dive for AZ-104 Exam: Microsoft Azure Administrator | Demos | 30+ hours of videos || 100% Syllabus || PPTs,6022.0,4.695382,664.0,134.0,343.0,2045.0,2022-03-20,2022-09-27,IT & Software,Other IT & Software,Microsoft Azure,/course/azure-tips-tricks/,Saurabh Gupta || CloudGita || AZ-900 || AZ-104 || AWS Certified Cloud Practitioner,10
10-Day Double Your Self-Confidence & Self-Esteem Challenge,True,99.99,Step-by-step process to creating lasting confidence in personal life and business. Boost your inner and outer confidence,4399.0,4.5863876,1063.0,161.0,34.0,150.0,2022-04-20,2022-10-09,Personal Development,Self Esteem & Confidence,Confidence,/course/10-day-double-your-self-confidence-self-esteem-challenge/,Jimmy Naraine,23
200 Hours Yoga Teacher Training - Part 1 (Yoga Alliance),True,199.99,Part 1 of Part 2 of our Internationally Accredited Certification Course by Yoga Alliance,4286.0,4.7511926,812.0,293.0,83.0,1321.0,2022-05-29,2022-10-06,Health & Fitness,Yoga,Yoga,/course/200-hours-yoga-teacher-training-part-1-yoga-alliance/,Bodsphere - Health and Wellness,13
JavaScript Unit Testing - The Practical Guide,True,139.99,Learn how to write automated tests (unit & integration tests) for your JavaScript projects with Vitest & Jest.,10663.0,4.723382,1152.0,187.0,92.0,340.0,2022-05-03,2022-08-02,Development,Software Testing,JavaScript,/course/javascript-unit-testing-the-practical-guide/,Academind by Maximilian Schwarzmüller,26
Problem Solving: The Complete Guide,True,49.99,How to solve problems in an efficient and innovative way. Critical & Design thinking. Pareto. Mindmap. 6 thinking hats.,3919.0,4.5037174,1034.0,127.0,34.0,100.0,2022-04-25,2022-10-06,Business,Business Strategy,Problem Solving,/course/problem-solving-the-complete-guide/,Jamal Lazaar,22
Complete Blender Megacourse: Beginner to Expert,True,19.99,Learn how to work with Blender 3.0 like a pro with this step-by-step course!,11760.0,4.5868826,911.0,183.0,232.0,7768.0,2022-04-29,2022-08-09,Design,3D & Animation,Blender,/course/complete-blender-megacourse-beginner-to-expert/,Creativity Unleashed,15
200 Hours Yoga Teacher Training - Part 2 (Yoga Alliance),True,199.99,Part 2 of our Internationally Accredited Certification Course by Yoga Alliance,3379.0,4.8322477,382.0,196.0,97.0,601.0,2022-05-29,2022-07-11,Health & Fitness,Yoga,Yoga,/course/200-hours-yoga-teacher-training-part-2-yoga-alliance/,Bodsphere - Health and Wellness,4
Mastering TypeScript - 2022 Edition,True,99.99,Learn the world's fastest growing programming language from scratch. Includes Webpack & React!,7521.0,4.7630873,877.0,184.0,144.0,644.0,2022-06-27,2022-07-01,Development,Web Development,Typescript,/course/learn-typescript/,Colt Steele,14
